# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 7.8993e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 7.1847e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 6.5289e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 5.9586e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 5.3775e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 4.7877e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 4.2989e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 3.6917e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 3.1043e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 2.5533e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 2.0402e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 1.6439e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.1370e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 6.1498e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e+01, 1.3324e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, -2.2065e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.0000e+01, -5.8575e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.8000e+01, -8.5058e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 9.2495e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 8.5560e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 7.8343e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 7.1757e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 6.5266e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 5.9308e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 5.4128e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 4.8849e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 4.3491e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 3.9051e-01
