# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 1.6879e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 1.6879e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 1.6879e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 1.6879e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.6277e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.5200e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.4240e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.3023e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.1794e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.0132e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 8.4403e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 6.7172e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.0583e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 3.7749e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.1398e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 7.8212e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 1.8380e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 1.6859e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 1.6859e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 1.6859e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 1.6859e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 1.6859e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.6257e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.5181e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.4222e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.3007e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.1780e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.0119e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 8.4300e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 6.7090e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.0521e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 3.7703e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.1372e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 7.8117e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 1.8358e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 1.6856e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 1.6856e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 1.6856e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 1.6856e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 1.6856e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.6255e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.5179e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.4220e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.3005e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.1778e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.0118e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 8.4288e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 6.7080e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.0514e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 3.7697e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.1369e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 7.8105e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 1.8355e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
