# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.7000e+00, 3.0808e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.0000e+00, 2.5906e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 5.1000e+00, 2.1308e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 8.3000e+00, 1.7026e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.2000e+01, 1.3719e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.9000e+01, 9.4881e-02
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.0000e+01, 5.1321e-02
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.5000e+01, 1.1120e-02
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 6.0000e+01, -1.8414e-02
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 8.0000e+01, -4.8882e-02
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 9.8000e+01, -7.0982e-02
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.0000e-02, 8.4957e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.6000e-02, 7.8587e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 2.7000e-02, 7.1958e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.5000e-02, 6.5909e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 7.7000e-02, 5.9947e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.3000e-01, 5.4475e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 2.1000e-01, 4.9716e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.5000e-01, 4.4868e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 6.0000e-01, 3.9947e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 9.5000e-01, 3.5869e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.7000e+00, 3.0802e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.0000e+00, 2.5901e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 5.1000e+00, 2.1304e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 8.3000e+00, 1.7023e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.2000e+01, 1.3716e-01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.9000e+01, 9.4864e-02
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.0000e+01, 5.1312e-02
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.5000e+01, 1.1118e-02
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 6.0000e+01, -1.8411e-02
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 8.0000e+01, -4.8873e-02
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 9.8000e+01, -7.0969e-02
