# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 4.1121e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 3.3280e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 2.4871e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 1.6668e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 9.9289e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 5.8117e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 1.9333e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 1.8790e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 3.8755e-03
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
