# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_comb_dB
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 7.7198e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 5.6701e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 4.1188e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 2.9861e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 2.1891e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 1.7268e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 1.2934e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 1.0206e+00
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e+01, 8.8181e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 8.1236e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 7.6769e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.8000e+01, 7.5190e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 5.0049e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 4.2968e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 3.5753e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 2.9490e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 2.3787e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 1.9011e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 1.5274e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 1.1952e+01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 9.1389e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 7.2042e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 5.2716e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 3.8158e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 2.7583e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 2.0169e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 1.5877e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 1.1858e+00
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 9.3209e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 4.5000e+01, 8.0197e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, 7.3641e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, 6.9304e-01
1, 8, 3.7500e+01, 4.0000e+01, 1.0000e+00, 9.8000e+01, 6.7632e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 4.8305e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 4.1421e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 3.4415e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 2.8339e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 2.2812e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 1.8194e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 1.4589e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 1.1390e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 8.6857e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 6.8303e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 4.9817e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 3.5949e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 2.5919e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 1.8909e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 1.4857e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.1067e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 8.6676e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 4.5000e+01, 7.4275e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, 6.7991e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 8.0000e+01, 6.3742e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.8000e+01, 6.1998e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 4.7081e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 4.0334e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 3.3472e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 2.7526e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 2.2121e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 1.7612e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 1.4099e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 1.0987e+01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 8.3589e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 6.5595e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 4.7706e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 3.4332e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 5.1000e+00, 2.4696e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 8.3000e+00, 1.7980e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.2000e+01, 1.4103e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 1.9000e+01, 1.0480e+00
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 3.0000e+01, 8.1802e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 4.5000e+01, 6.9826e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 6.0000e+01, 6.3729e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 8.0000e+01, 5.9534e-01
1, 10, 3.7500e+01, 5.0000e+01, 1.0000e+00, 9.8000e+01, 5.7728e-01
